Top Gainers
Symbol,Point Gain,Percentage Gain
Southwest Airlines Co,29.78,5.678%
CrowdStrike Holdings Inc,325.68,5.446%
Super Micro Computer Inc,38.76,5.041%
First Solar Inc,138.15,3.786%
Ge Vernova Inc,279.595,3.504%
ServiceNow Inc,809.285,3.248%
EQT Corp,49.011,3.202%
Insulet Corp,244.1,2.97%
Broadcom Inc,189.595,2.789%
NRG Energy Inc,87.13,2.723%
Palo Alto Networks Inc,178.325,2.586%
Newmont Corporation,43.46,2.573%

Top Losers
Symbol,Point Loss,Percentage Loss
Teradyne Inc,29.78,5.678%
Delta Air Lines Inc,325.68,5.446%
Expedia Group Inc,38.76,5.041%
Moderna Inc,138.15,3.786%
Verizon Communications Inc,279.595,3.504%
Oracle Corp,809.285,3.248%
Skyworks Solutions Inc,49.011,3.202%
United Airlines Holdings Inc,244.1,2.97%
Walt Disney Co,189.595,2.789%
Paccar Inc,87.13,2.723%
Marriott International Inc,178.325,2.586%
Brown-Forman Corp,43.46,2.573%
